Phyllum,Subphyllym ,Superclass ,Class ,Subclass ,Superorder,Order,Suborder,Infraorder,Parvorder,Superfamily,Family,Specie,Sitio,Latitud,Longitude,Altitude,Habitat_type,Reference,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Asellota,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Petrenco,-38.750,-72.550,120,Wetland,"Correa-Araneda et al., 2017",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Asellota,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Quepe,-38.830,-72.630,90,Wetland,"Correa-Araneda et al., 2017",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Asellota,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Nohualhue,-38.700,-72.800,150,Wetland,"Correa-Araneda et al., 2017",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Asellota,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Vergel,-38.740,-72.580,110,Wetland,"Correa-Araneda et al., 2017",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Asellota,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Pumalal,-38.720,-72.500,130,Wetland,"Correa-Araneda et al., 2017",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Laguna Verde I,-38.680,-71.760,1100,Lagoon,De los Ríos-Escalante et al. 2012a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Gibbs channel - Gabriela Mistral av.,-38.762,-72.738,NA,Stream,"Correa-Araneda et al., 2010",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella chiloensis Gonzalez & Watling, 2001",Cerro Ñielol,-38.780,-70.300,132,Stream,De los Ríos-Escalante et al. 2012a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella costera Gonzalez & Watling, 2001",Puaucho,-38.950,-73.310,0,Ephemeral pools,De los Ríos-Escalante et al. 2012a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Lago Chico,-39.130,-71.700,1240,Lagoon,"De los Ríos et al., 2007",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Lago Verde II,-39.130,-71.700,1254,Lagoon,"De los Ríos et al., 2007",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Lago Toro,-39.130,-71.700,1245,Lagoon,"De los Ríos et al., 2007",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella patagonica (Cunningham, 1871)",Laguna de los Patos,-39.170,-71.700,1440,Lagoon,"De los Ríos et al., 2007",,,,,
